date,rain,maxtp,mintp
01-Sep-18,0.1,20.9,11.8
02-Sep-18,1.9,23,10.4
03-Sep-18,0.2,16.9,6.6
04-Sep-18,0,17.5,4.6
05-Sep-18,4,19.2,4.9
06-Sep-18,4.1,15.3,5.8
07-Sep-18,0,15.6,5.4
08-Sep-18,6.2,17.8,13
09-Sep-18,0,17.7,11.9
10-Sep-18,0.5,16.6,11.5
11-Sep-18,2.1,16.5,10.6
12-Sep-18,0.1,16.9,8.4
13-Sep-18,0,16.7,9.2
14-Sep-18,1.7,16.6,11.1
15-Sep-18,0.9,16.9,10.9
16-Sep-18,2.3,18.7,10.1
17-Sep-18,0.1,20.4,10
18-Sep-18,1.5,21.1,13.6
19-Sep-18,0.9,17.9,10.3
20-Sep-18,15.7,12,6
21-Sep-18,1,14.1,6.1
22-Sep-18,0,11.9,3.4
23-Sep-18,0,13.3,3.9
24-Sep-18,0,13.9,3.5
25-Sep-18,0,15.9,0.4
26-Sep-18,0,19.5,13.4
27-Sep-18,0.5,16.6,4.2
28-Sep-18,0,13.7,1.5
29-Sep-18,0,14.8,1.9
30-Sep-18,0,12.8,5.1